player,elo
Greg Rusedski,1609.8868837049731
Michael Stich,1610.0386613666049
Mubarak Shannan Zayid,1507.636923082066
Hugo Grenier,1537.5129221956013
Eduardo Struvay,1490.0
Thomas Johansson,1448.889331276854
Hernan Casanova,1490.2174191134304
Daniel Smethurst,1490.0
Jerome Potier,1520.0
Edouard Roger Vasselin,1543.728693960203
Gilles Arnaud Bailly,1467.377895298151
Marco Trungelliti,1501.8521222113793
Danny Sapsford,1495.2020177073389
Titouan Droguet,1519.4443673157257
John Newcombe,1512.0223440252746
Stefano Napolitano,1490.0
Wally Masur,1469.6692351531444
David Nalbandian,1322.941453394154
Guy Forget,1473.3465059173482
Pol Martin Tiffon,1490.253105466828
Damir Dzumhur,1407.69247178204
Guillermo Canas,1386.9263960239512
Kristian Pless,1491.3244839283518
Sumit Nagal,1489.0954675180901
Emilio Nava,1506.2298456964077
Dmitry Popko,1535.694049700717
Zsombor Piros,1508.4716415591035
Martin Cuevas,1509.5842602669077
Valentin Royer,1504.225276533012
Adolfo Daniel Vallejo,1510.0
Henri Squire,1489.1117274536912
Cooper Kose,1510.0
Jan Michael Gambill,1523.678611468258
Andrey Golubev,1495.274642954585
Axel Michon,1509.66447554501
Roger Federer,1549.4325622575236
Ivo Karlovic,1371.1873774440724
Dennis Novak,1458.617491782091
Roberto Carballes Baena,1433.3031612170364
Benoit Paire,1402.6113823046528
David Wheaton,1431.730367949006
Paul Haarhuis,1453.959192745102
Gabriel Decamps,1490.9245789497534
Eduardo Russi,1490.0
Stan Wawrinka,1599.777953258915
Milos Raonic,1716.5401112845645
Bob Bryan,1530.426953638601
Alexander Bublik,1558.3826829763093
Carlos Moya,1430.5720960678382
Martin Damm,1527.5611578694186
Roberto Cid,1486.1937593507369
Olivier Rochus,1511.2243792831637
Federico Luzzi,1491.3058782963528
Hiroki Moriya,1520.0
Harold Solomon,1480.2227843780583
Max Houkes,1499.71225631668
Gianluca Mager,1497.8543790667889
Dusan Lajovic,1429.6225795891278
Hyung Taik Lee,1507.9842082146818
Andrei Stoliarov,1493.357422010497
Mackenzie Mcdonald,1419.1817475187422
Juan Carlos Ferrero,1432.1546406130044
Egor Gerasimov,1516.5454529219405
Wayne Arthurs,1508.5498005075904
Juan Ignacio Chela,1471.6236932560826
Jose Acasuso,1488.607101802324
Luca Vanni,1490.0
Norbert Gombos,1470.2374914565896
Jose Hernandez,1506.674934460742
Emil Ruusuvuori,1629.9086173715366
Peter Doohan,1508.6517105708735
Christopher Oconnell,1458.4917890366441
Juan Ignacio Londero,1416.3269699553434
Todd Woodbridge,1558.2570122484385
Scott Draper,1503.3153967525045
Alex Bogomolov Jr,1496.3660036800763
Michael Mmoh,1481.5104972213899
Alex Bogdanovic,1496.940389443545
Alex Marti Pujolras,1490.0
Henrique Rocha,1480.8729019900456
Juan Antonio Marin,1494.6417212788638
Makoto Ochi,1510.0
James Ward,1497.2297764076422
Mate Valkusz,1490.8285741812642
Marc Rosset,1461.153811095087
