Player,Elo,hElo,cElo,gElo
Miguel Tobon,1324.5,1298.8,1307.1,1373.2
Luis Guto Miguel,1322.0,1267.1,1317.1,1361.0
Viktor Durasovic,1320.0,1329.2,1263.2,1303.7
Neil Oberleitner,1319.6,1286.4,1271.8,1359.8
Robin Bertrand,1318.8,1320.6,1220.6,1359.4
Johan Nikles,1318.7,1273.0,1306.1,1359.3
Arda Azkara,1314.3,1296.2,1267.1,1340.7
Karl Poling,1313.7,1320.3,1216.4,1315.2
Dan Martin,1313.2,1276.1,1274.7,1328.7
Jelle Sels,1312.5,1333.0,1282.7,1252.5
Niels Visker,1312.2,1335.3,1232.5,1332.2
Cruz Hewitt,1310.7,1292.5,1265.3,1355.3
Olukayode Alafia Damina Ayeni,1308.0,1302.1,1212.6,1310.3
Pietro Fellin,1308.0,1297.0,1233.4,1354.0
Daniel Dutra Da Silva,1307.0,1232.2,1282.2,1339.6
Sasi Kumar Mukund,1305.7,1281.1,1241.0,1316.2
Ivan Marrero Curbelo,1302.5,1237.3,1327.8,1351.3
Patrick Zahraj,1296.3,1305.0,1225.5,1343.4
Omar Jasika,1295.9,1271.9,1244.9,1242.5
Lucas Poullain,1295.3,1286.0,1225.5,1347.7
Robert Strombachs,1294.4,1287.2,1255.8,1347.2
Blaise Bicknell,1293.6,1270.6,1277.6,1396.8
Patrick Maloney,1293.4,1259.7,1308.4,1328.2
Carl Emil Overbeck,1292.9,1271.2,1256.5,1346.5
Alejo Sanchez Quilez,1292.8,1262.1,1268.2,1346.4
Maxime Janvier,1291.8,1278.9,1258.1,1314.8
Tsung Hao Huang,1289.7,1270.1,1243.3,1344.9
Maxime Chazal,1287.7,1237.5,1253.5,1343.8
Kasidit Samrej,1285.4,1259.8,1356.9,1392.7
Juan Estevez,1284.3,1252.2,1276.7,1342.2
Svyatoslav Gulin,1284.0,1246.4,1268.7,1342.0
Taha Baadi,1282.1,1249.6,1279.8,1305.3
Joaquin Aguilar Cardozo,1281.4,1302.5,1284.6,1390.7
Adria Soriano Barrera,1279.6,1280.9,1225.5,1339.8
Carlo Alberto Caniato,1277.0,1226.4,1275.8,1338.5
Yusuke Takahashi,1267.7,1243.3,1262.5,1333.9
Raphael Perot,1267.6,1230.8,1261.2,1333.8
Christian Langmo,1266.5,1254.0,1140.8,1333.2
San Hui Sin,1265.1,1242.2,1242.6,1332.6
Max Wiskandt,1262.7,1226.1,1253.1,1304.1
Gabriele Piraino,1253.7,1201.8,1247.8,1326.8
Bor Artnak,1253.3,1241.0,1290.2,1376.7
Pedro Sakamoto,1244.8,1236.2,1228.9,1322.4
Mateus Alves,1244.5,1146.2,1246.9,1322.3
Juan Alejandro Hernandez Serrano,1239.5,1243.4,1200.3,1319.7
Naoya Honda,1239.5,1236.3,1203.1,1319.8
Aryan Shah,1235.2,1227.9,1226.1,1317.6
Filip Peliwo,1233.6,1210.8,1251.5,1280.6
Samuele Pieri,1224.6,1222.3,1210.5,1312.3
Renta Tokuda,1223.7,1196.6,1173.1,1311.8
Vadym Ursu,1222.7,1195.6,1167.6,1290.3
Saba Purtseladze,1220.3,1251.8,1110.1,1288.2
Dominik Palan,1214.0,1201.3,1195.2,1307.0
Moerani Bouzige,1210.6,1179.6,1215.3,1305.3
Kokoro Isomura,1205.7,1176.3,1212.9,1302.9
Joao Eduardo Schiessl,1201.5,1173.9,1203.0,1300.7
Carlos Maria Zarate,1199.9,1212.2,1187.0,1300.0
Mariano Kestelboim,1198.4,1170.6,1189.0,1299.2
Luca Castelnuovo,1196.9,1176.5,1173.0,1288.5
Lorenzo Joaquin Rodriguez,1193.3,1172.8,1184.1,1296.7
Andrew Fenty,1186.6,1169.1,1191.5,1293.3
Tomasz Berkieta,1182.2,1211.1,1152.8,1291.1
Ryan Dickerson,1180.8,1173.8,1186.9,1290.4
Juan Sebastian Gomez,1180.6,1181.2,1168.0,1290.3
Tiago Pereira,1178.8,1142.3,1200.1,1255.5
Sebastian Gima,1167.1,1137.2,1170.1,1283.6
Ivan Ivanov,1164.6,1162.0,1099.2,1278.2
Lorenzo Carboni,1160.5,1123.4,1165.6,1280.2
Mitsuki Wei Kang Leong,1154.7,1154.9,1187.3,1242.0
Paulo Andre Saraiva Dos Santos,1154.1,1166.2,1143.8,1277.0
Samuel Heredia,1141.1,1166.2,1136.0,1270.6
Nicolas Villalon,1135.4,1177.7,1127.6,1267.7
Karan Singh,1133.9,1090.4,1227.7,1267.0
Bruno Fernandez,1130.0,1175.0,1117.3,1265.0
Tristan Mccormick,1125.6,1118.6,1124.5,1232.3
Jake Delaney,1103.0,1088.3,1131.7,1251.5
Santiago De La Fuente,1066.2,1143.1,1063.0,1233.1
Samuel Alejandro Linde Palacios,1051.6,1113.5,1050.4,1225.8
Maximo Zeitune,1043.6,1131.8,1032.8,1221.8
